pct,samples,trial,train_sec,test_err,val_acc
0.1,100,1,0.7702820301055908,0.406,0.684
0.1,100,2,0.7759969234466553,0.44399999999999995,0.576
0.1,100,3,0.9871177673339844,0.41600000000000004,0.608
0.1,100,4,0.7992241382598877,0.368,0.664
0.1,100,5,0.7069587707519531,0.41400000000000003,0.614
0.2,200,1,1.2207019329071045,0.31799999999999995,0.736
0.2,200,2,1.2036428451538086,0.31399999999999995,0.73
0.2,200,3,1.254122257232666,0.362,0.692
0.2,200,4,1.4071481227874756,0.362,0.708
0.2,200,5,1.288032054901123,0.352,0.726
0.30000000000000004,300,1,2.1057910919189453,0.272,0.778
0.30000000000000004,300,2,1.9192850589752197,0.32799999999999996,0.756
0.30000000000000004,300,3,1.833575963973999,0.30000000000000004,0.774
0.30000000000000004,300,4,1.9305801391601562,0.28800000000000003,0.782
0.30000000000000004,300,5,1.9597032070159912,0.29200000000000004,0.744
0.4,400,1,2.181403875350952,0.33199999999999996,0.75
0.4,400,2,2.187403917312622,0.272,0.782
0.4,400,3,2.3538286685943604,0.254,0.772
0.4,400,4,2.5518319606781006,0.26,0.754
0.4,400,5,2.2473649978637695,0.31799999999999995,0.734
0.5,500,1,2.662938117980957,0.258,0.77
0.5,500,2,2.666440963745117,0.28800000000000003,0.768
0.5,500,3,2.322094202041626,0.252,0.792
0.5,500,4,2.5889339447021484,0.27,0.774
0.5,500,5,2.7683210372924805,0.264,0.774
0.6000000000000001,600,1,2.944026231765747,0.22599999999999998,0.784
0.6000000000000001,600,2,3.2279551029205322,0.258,0.782
0.6000000000000001,600,3,2.747933864593506,0.248,0.808
0.6000000000000001,600,4,3.189912796020508,0.264,0.806
0.6000000000000001,600,5,3.0973448753356934,0.236,0.8
0.7000000000000001,700,1,3.3901987075805664,0.246,0.802
0.7000000000000001,700,2,3.0198662281036377,0.21999999999999997,0.804
0.7000000000000001,700,3,3.4823479652404785,0.236,0.786
0.7000000000000001,700,4,3.803898811340332,0.23199999999999998,0.8
0.7000000000000001,700,5,3.4103150367736816,0.248,0.794
0.8,800,1,3.6882259845733643,0.238,0.79
0.8,800,2,4.333899974822998,0.23399999999999999,0.802
0.8,800,3,3.7271108627319336,0.22799999999999998,0.8
0.8,800,4,3.6129820346832275,0.22399999999999998,0.808
0.8,800,5,3.3953938484191895,0.21199999999999997,0.812
0.9,900,1,4.3702919483184814,0.21199999999999997,0.806
0.9,900,2,5.198821783065796,0.22599999999999998,0.818
0.9,900,3,4.635122060775757,0.22199999999999998,0.828
0.9,900,4,4.590687990188599,0.20199999999999996,0.81
0.9,900,5,4.552150011062622,0.238,0.8
1.0,1000,1,5.331420183181763,0.21599999999999997,0.816
1.0,1000,2,5.173211097717285,0.21599999999999997,0.816
1.0,1000,3,5.30669903755188,0.21599999999999997,0.816
1.0,1000,4,5.9589879512786865,0.21599999999999997,0.816
1.0,1000,5,4.967077970504761,0.21599999999999997,0.816
