pct,train_time_mean,train_time_std,test_acc_mean,test_acc_std
0.1,0.18360575675964352,0.05249804773029331,0.5749333333333333,0.038262252939418005
0.2,0.19912899971008297,0.040814837957161426,0.6136,0.07429869646431424
0.3,0.2398133563995361,0.05650415484065586,0.7154666666666667,0.060666666666666653
0.4,0.2815119075775146,0.032393690035465876,0.7738666666666667,0.03338440531922828
0.5,0.3289385414123535,0.05570960406938281,0.8002666666666667,0.03100059736580953
0.6,0.35059245109558107,0.04930721696979815,0.8072,0.0391540168697547
0.7,0.48760783195495605,0.19582309682737079,0.8293333333333334,0.041096093353126494
0.8,0.48162337303161623,0.05972295866851831,0.8216,0.03663028498084305
0.9,0.5547643661499023,0.08064368566141566,0.8373333333333334,0.025385910352879657
1.0,0.6390687370300293,0.07148965682155227,0.8576,0.015620499351813295
